	Frequency [Hz]	Amplitude [mm]	Phase Angle [°]	
1	1.e-003	8.0256e-019	1.877e-002	
2	50.13	3.3072e-011	178.85	
3	57.921	4.4161e-011	178.85	
4	64.568	5.4891e-011	178.85	
5	69.881	6.4305e-011	178.85	
6	73.91	7.1938e-011	178.85	
7	76.845	7.7764e-011	178.85	
8	78.921	8.2019e-011	178.86	
9	80.359	8.503e-011	178.86	
10	81.341	8.7115e-011	178.86	
11	82.005	8.8537e-011	178.86	
12	82.451	8.9498e-011	178.86	
13	82.749	9.0144e-011	178.86	
14	82.947	9.0575e-011	178.86	
15	83.079	9.0862e-011	178.86	
16	83.167	9.1053e-011	178.86	
17	83.225	9.118e-011	178.86	
18	83.264	9.1264e-011	178.86	
19	83.289	9.132e-011	178.86	
20	83.306	9.1357e-011	178.86	
21	83.34	9.1429e-011	178.86	
22	83.373	9.1502e-011	178.86	
23	83.39	9.1539e-011	178.86	
24	83.416	9.1595e-011	178.86	
25	83.454	9.168e-011	178.86	
26	83.513	9.1807e-011	178.86	
27	83.601	9.2e-011	178.86	
28	83.734	9.2291e-011	178.86	
29	83.935	9.2732e-011	178.86	
30	84.238	9.3399e-011	178.86	
31	84.696	9.4409e-011	178.86	
32	85.388	9.5941e-011	178.87	
33	86.431	9.8271e-011	178.87	
34	88.006	1.0182e-010	178.88	
35	88.67	1.0331e-010	178.89	
36	89.017	1.041e-010	178.9	
37	90.639	1.0772e-010	178.96	
38	91.747	1.101e-010	179.07	
39	92.495	1.1163e-010	179.27	
40	92.998	1.127e-010	179.55	
41	93.334	1.136e-010	179.85	
42	93.558	1.1441e-010	-179.92	
43	93.707	1.1508e-010	-179.78	
44	93.806	1.1559e-010	-179.7	
45	93.872	1.1595e-010	-179.67	
46	93.915	1.1619e-010	-179.66	
47	93.944	1.1636e-010	-179.65	
48	93.963	1.1647e-010	-179.65	
49	94.001	1.1668e-010	-179.64	
50	94.039	1.169e-010	-179.65	
51	94.058	1.1701e-010	-179.65	
