cnt	Frequency_[Hz]	Amplitude_[mm]	Phase_Angle_[°]	
1	1.e-003	1.	-1.5489e-010	
2	50.13	1.4763	-0.51791	
3	57.921	1.7342	-0.78432	
4	64.568	2.0726	-1.1261	
5	69.881	2.4845	-1.5348	
6	73.91	2.9466	-1.9877	
7	76.845	3.4223	-2.45	
8	78.921	3.8717	-2.8844	
9	80.359	4.2635	-3.262	
10	81.341	4.5822	-3.5685	
11	82.005	4.8271	-3.8038	
12	82.451	5.0073	-3.9768	
13	82.749	5.1357	-4.1	
14	82.947	5.2251	-4.1858	
15	83.079	5.2864	-4.2445	
16	83.167	5.3279	-4.2843	
17	83.225	5.3558	-4.3111	
18	83.264	5.3744	-4.329	
19	83.289	5.3869	-4.3409	
20	83.306	5.3952	-4.3489	
21	83.34	5.4115	-4.3646	
22	83.373	5.428	-4.3804	
23	83.39	5.4364	-4.3884	
24	83.416	5.4492	-4.4007	
25	83.454	5.4686	-4.4193	
26	83.513	5.4981	-4.4476	
27	83.601	5.5434	-4.491	
28	83.734	5.6131	-4.5578	
29	83.935	5.7218	-4.662	
30	84.238	5.8943	-4.8273	
31	84.696	6.1757	-5.097	
32	85.388	6.6565	-5.5576	
33	86.431	7.5455	-6.4094	
34	88.006	9.4571	-8.2438	
35	88.67	10.589	-9.3329	
36	89.017	11.293	-10.012	
37	90.639	16.359	-14.946	
38	91.747	23.33	-21.94	
39	92.495	32.055	-31.247	
40	92.998	41.354	-42.365	
41	93.334	49.307	-53.814	
42	93.558	54.696	-63.898	
43	93.707	57.725	-71.738	
44	93.806	59.237	-77.371	
45	93.872	59.947	-81.251	
46	93.915	60.271	-83.868	
47	93.944	60.417	-85.617	
48	93.963	60.483	-86.78	
49	94.001	60.541	-89.07	
50	94.039	60.501	-91.361	
51	94.058	60.444	-92.526	
52	94.087	60.311	-94.28	
53	94.13	60.006	-96.909	
54	94.196	59.319	-100.82	
55	94.296	57.828	-106.5	
56	94.446	54.796	-114.45	
57	94.673	49.335	-124.71	
58	95.015	41.213	-136.39	
59	95.531	31.697	-147.72	
60	96.311	22.794	-157.18	
61	97.488	15.712	-164.26	
62	99.264	10.589	-169.24	
63	100.04	9.2599	-170.52	
64	100.45	8.6777	-171.08	
65	102.28	6.7754	-172.9	
66	103.53	5.8901	-173.75	
67	104.37	5.4112	-174.21	
68	104.94	5.1307	-174.48	
69	105.32	4.9589	-174.64	
70	105.57	4.8505	-174.75	
71	105.74	4.7811	-174.82	
72	105.85	4.736	-174.86	
73	105.93	4.7066	-174.89	
74	105.98	4.6872	-174.91	
75	106.01	4.6745	-174.92	
76	106.03	4.6661	-174.93	
77	106.07	4.6497	-174.94	
78	106.12	4.6334	-174.96	
79	106.14	4.6252	-174.97	
80	106.17	4.6127	-174.98	
81	106.22	4.5941	-175.	
82	106.29	4.5663	-175.02	
83	106.41	4.525	-175.06	
84	106.58	4.4639	-175.12	
85	106.83	4.3749	-175.21	
86	107.22	4.2469	-175.33	
87	107.8	4.0673	-175.5	
88	108.68	3.8232	-175.74	
89	110.01	3.5056	-176.05	
90	112.01	3.1151	-176.43	
91	115.04	2.6675	-176.87	
92	119.61	2.1941	-177.35	
93	126.5	1.7354	-177.82	
94	136.91	1.329	-178.28	
95	152.62	1.0007	-178.7	
96	176.34	0.76308	-179.13	
97	212.15	0.62598	-179.65	
98	240.77	0.60714	179.91	
99	260.95	0.63108	179.52	
100	290.9	0.73933	178.72	
101	314.83	0.94279	177.62	
102	332.99	1.2721	176.04	
103	346.21	1.7789	173.72	
104	355.56	2.5373	170.32	
