	Frequency [Hz]	Amplitude [mm]	Phase Angle [°]	
1	1.e-003	2.8305e-016	-8.2977e-006	
2	50.13	9.8868e-011	176.7	
3	57.921	2.4133e-010	176.16	
4	64.568	5.3687e-010	175.31	
5	69.881	1.107e-009	174.05	
6	73.91	2.1411e-009	172.22	
7	76.845	3.9167e-009	169.61	
8	78.921	6.8099e-009	165.9	
9	80.359	1.1272e-008	160.66	
10	81.341	1.7689e-008	153.4	
11	82.005	2.5995e-008	143.9	
12	82.451	3.5133e-008	132.63	
13	82.749	4.3241e-008	121.07	
14	82.947	4.9007e-008	110.92	
15	83.079	5.2473e-008	103.02	
16	83.167	5.4369e-008	97.357	
17	83.225	5.5376e-008	93.453	
18	83.264	5.5914e-008	90.82	
19	83.289	5.6209e-008	89.061	
20	83.306	5.6377e-008	87.891	
21	83.34	5.664e-008	85.588	
22	83.373	5.6814e-008	83.283	
23	83.39	5.6868e-008	82.11	
24	83.416	5.6906e-008	80.345	
25	83.454	5.6865e-008	77.7	
26	83.513	5.6585e-008	73.769	
27	83.601	5.5715e-008	68.043	
28	83.734	5.36e-008	60.037	
29	83.935	4.9389e-008	49.684	
30	84.238	4.2754e-008	37.86	
31	84.696	3.4751e-008	26.285	
32	85.388	2.7273e-008	16.409	
33	86.431	2.1685e-008	8.5441	
34	88.006	1.8745e-008	1.8425	
35	88.67	1.8583e-008	-0.44152	
36	89.017	1.8707e-008	-1.6303	
37	90.639	2.1488e-008	-8.277	
38	91.747	2.6862e-008	-16.03	
39	92.495	3.4055e-008	-25.729	
40	92.998	4.1758e-008	-37.068	
41	93.334	4.8184e-008	-48.649	
42	93.558	5.2322e-008	-58.815	
43	93.707	5.4454e-008	-66.707	
44	93.806	5.5369e-008	-72.373	
45	93.872	5.5694e-008	-76.274	
46	93.915	5.5771e-008	-78.906	
47	93.944	5.5759e-008	-80.664	
48	93.963	5.5722e-008	-81.833	
49	94.001	5.5584e-008	-84.134	
50	94.039	5.5358e-008	-86.437	
51	94.058	5.521e-008	-87.608	
52	94.087	5.4944e-008	-89.371	
53	94.13	5.445e-008	-92.014	
54	94.196	5.3508e-008	-95.939	
55	94.296	5.17e-008	-101.66	
56	94.446	4.834e-008	-109.65	
57	94.673	4.2666e-008	-119.97	
58	95.015	3.4607e-008	-131.73	
59	95.531	2.5487e-008	-143.17	
60	96.311	1.7205e-008	-152.77	
61	97.488	1.0824e-008	-160.	
62	99.264	6.3941e-009	-165.09	
63	100.04	5.2876e-009	-166.37	
