	Frequency [Hz]	Amplitude [mm]	Phase Angle [°]	
1	1.e-003	3.3689e-016	1.1944e-005	
2	50.13	6.8669e-011	177.02	
3	57.921	1.5721e-010	176.35	
4	64.568	3.4058e-010	175.4	
5	69.881	6.977e-010	174.05	
6	73.91	1.3536e-009	172.15	
7	76.845	2.4921e-009	169.49	
8	78.921	4.3625e-009	165.73	
9	80.359	7.2632e-009	160.45	
10	81.341	1.145e-008	153.18	
11	82.005	1.6883e-008	143.65	
12	82.451	2.2872e-008	132.38	
13	82.749	2.8195e-008	120.81	
14	82.947	3.1991e-008	110.65	
15	83.079	3.4279e-008	102.75	
16	83.167	3.5536e-008	97.081	
17	83.225	3.6206e-008	93.176	
18	83.264	3.6566e-008	90.542	
19	83.289	3.6764e-008	88.782	
20	83.306	3.6878e-008	87.612	
21	83.34	3.7057e-008	85.308	
22	83.373	3.7178e-008	83.002	
23	83.39	3.7218e-008	81.829	
24	83.416	3.7248e-008	80.063	
25	83.454	3.7229e-008	77.416	
26	83.513	3.7059e-008	73.484	
27	83.601	3.6509e-008	67.755	
28	83.734	3.5151e-008	59.746	
29	83.935	3.2429e-008	49.386	
30	84.238	2.8126e-008	37.553	
31	84.696	2.2929e-008	25.965	
32	85.388	1.8079e-008	16.067	
33	86.431	1.4484e-008	8.1677	
34	88.006	1.2681e-008	1.4091	
35	88.67	1.2645e-008	-0.90095	
36	89.017	1.277e-008	-2.1038	
37	90.639	1.4905e-008	-8.8216	
38	91.747	1.8859e-008	-16.628	
39	92.495	2.4119e-008	-26.367	
40	92.998	2.9757e-008	-37.734	
41	93.334	3.4483e-008	-49.335	
42	93.558	3.7553e-008	-59.514	
43	93.707	3.9158e-008	-67.415	
44	93.806	3.9869e-008	-73.087	
45	93.872	4.0138e-008	-76.992	
46	93.915	4.0217e-008	-79.626	
47	93.944	4.0223e-008	-81.386	
48	93.963	4.0207e-008	-82.556	
49	94.001	4.0128e-008	-84.86	
50	94.039	3.9985e-008	-87.165	
51	94.058	3.9888e-008	-88.338	
52	94.087	3.9711e-008	-90.103	
53	94.13	3.9378e-008	-92.748	
54	94.196	3.8731e-008	-96.678	
55	94.296	3.7474e-008	-102.4	
56	94.446	3.5111e-008	-110.4	
57	94.673	3.1088e-008	-120.74	
58	95.015	2.534e-008	-132.52	
59	95.531	1.8805e-008	-144.	
60	96.311	1.2849e-008	-153.66	
61	97.488	8.2449e-009	-160.99	
62	99.264	5.0368e-009	-166.25	
63	100.04	4.2331e-009	-167.62	
64	100.45	3.8862e-009	-168.22	
65	102.28	2.7809e-009	-170.2	
66	103.53	2.285e-009	-171.12	
67	104.37	2.0229e-009	-171.61	
68	104.94	1.8717e-009	-171.9	
69	105.32	1.7799e-009	-172.07	
70	105.57	1.7223e-009	-172.18	
71	105.74	1.6855e-009	-172.25	
72	105.85	1.6618e-009	-172.3	
73	105.93	1.6462e-009	-172.33	
74	105.98	1.6361e-009	-172.34	
75	106.01	1.6294e-009	-172.36	
76	106.03	1.6249e-009	-172.37	
77	106.07	1.6163e-009	-172.38	
78	106.12	1.6078e-009	-172.4	
79	106.14	1.6034e-009	-172.41	
80	106.17	1.5969e-009	-172.42	
81	106.22	1.5872e-009	-172.44	
82	106.29	1.5726e-009	-172.46	
83	106.41	1.551e-009	-172.5	
84	106.58	1.5192e-009	-172.56	
85	106.83	1.4729e-009	-172.64	
86	107.22	1.4069e-009	-172.76	
87	107.8	1.315e-009	-172.93	
88	108.68	1.1916e-009	-173.14	
89	110.01	1.0336e-009	-173.4	
90	112.01	8.434e-010	-173.65	
91	115.04	6.3064e-010	-173.78	
92	119.61	4.1008e-010	-173.4	
93	126.5	1.9461e-010	-170.56	
94	136.91	3.0843e-011	-49.358	
95	152.62	2.5953e-010	-4.8339	
96	176.34	6.2154e-010	-2.7875	
97	212.15	1.4489e-009	-2.626	
98	240.77	2.6658e-009	-2.9425	
99	260.95	4.1291e-009	-3.3156	
100	290.9	8.3323e-009	-4.1886	
101	314.83	1.6012e-008	-5.4226	
102	332.99	2.9299e-008	-7.1566	
103	346.21	5.1153e-008	-9.619	
104	355.56	8.5488e-008	-13.151	
105	362.04	1.3698e-007	-18.212	
106	366.47	2.0956e-007	-25.302	
107	369.46	3.0213e-007	-34.677	
108	371.46	4.0272e-007	-45.843	
109	372.81	4.9085e-007	-57.325	
110	373.7	5.5257e-007	-67.432	
111	374.3	5.8893e-007	-75.287	
112	374.69	6.0833e-007	-80.93	
113	374.95	6.183e-007	-84.817	
114	375.13	6.2344e-007	-87.439	
115	375.24	6.2615e-007	-89.191	
116	375.32	6.2763e-007	-90.356	
117	375.47	6.298e-007	-92.649	
118	375.62	6.3096e-007	-94.944	
119	375.7	6.3117e-007	-96.112	
120	375.81	6.3099e-007	-97.869	
121	375.99	6.2962e-007	-100.5	
122	376.25	6.2516e-007	-104.42	
123	376.38	6.219e-007	-106.34	
124	376.51	6.1808e-007	-108.21	
125	376.78	6.0865e-007	-111.89	
126	376.95	6.0129e-007	-114.24	
127	377.07	5.9601e-007	-115.77	
128	377.14	5.9235e-007	-116.76	
129	377.29	5.8482e-007	-118.66	
130	377.45	5.7692e-007	-120.51	
131	377.52	5.7277e-007	-121.42	
132	377.64	5.6637e-007	-122.78	
133	377.81	5.5648e-007	-124.76	
134	378.08	5.4117e-007	-127.59	
135	378.48	5.1774e-007	-131.53	
136	379.08	4.8301e-007	-136.76	
137	379.99	4.3467e-007	-143.22	
138	381.36	3.7394e-007	-150.52	
139	383.44	3.0718e-007	-157.88	
140	386.57	2.4359e-007	-164.54	
141	391.29	1.9061e-007	-170.07	
142	398.42	1.5179e-007	-174.42	
143	409.18	1.2848e-007	-177.89	
144	425.43	1.2512e-007	178.86	
145	428.69	1.2751e-007	178.27	
146	442.67	1.512e-007	175.42	
147	454.63	2.0168e-007	171.54	
148	462.92	2.7951e-007	166.33	
149	468.57	3.8875e-007	159.16	
150	472.4	5.2624e-007	149.75	
151	474.96	6.7275e-007	138.57	
152	476.68	7.9754e-007	127.08	
153	477.82	8.8147e-007	116.97	
154	478.59	9.2808e-007	109.11	
155	479.09	9.5093e-007	103.46	
156	479.43	9.6136e-007	99.575	
157	479.65	9.6591e-007	96.952	
158	479.8	9.6783e-007	95.2	
159	479.89	9.6861e-007	94.035	
160	480.09	9.6898e-007	91.741	
161	480.28	9.678e-007	89.445	
162	480.38	9.6661e-007	88.277	
163	480.52	9.6407e-007	86.52	
164	480.75	9.5857e-007	83.886	
165	481.08	9.467e-007	79.972	
166	481.59	9.2157e-007	74.272	
167	482.36	8.7139e-007	66.308	
168	483.52	7.8211e-007	56.022	
169	485.26	6.5044e-007	44.307	
170	487.9	4.9713e-007	32.918	
171	491.88	3.5448e-007	23.378	
172	496.34	2.6382e-007	17.577	
173	500.31	2.1366e-007	14.397	
174	504.39	1.7816e-007	12.135	
175	507.13	1.6013e-007	10.975	
176	508.97	1.4995e-007	10.314	
177	510.19	1.4384e-007	9.9158	
178	511.	1.4005e-007	9.6669	
179	511.54	1.3763e-007	9.5081	
180	511.9	1.3607e-007	9.4055	
181	512.14	1.3506e-007	9.3387	
182	512.29	1.344e-007	9.2948	
183	512.4	1.3396e-007	9.266	
184	512.6	1.3311e-007	9.2099	
185	512.81	1.3227e-007	9.1543	
186	512.91	1.3185e-007	9.1263	
187	513.07	1.3122e-007	9.0843	
188	513.31	1.3027e-007	9.0216	
189	513.67	1.2887e-007	8.9285	
190	514.21	1.2681e-007	8.7913	
191	515.03	1.2383e-007	8.5917	
192	516.26	1.1958e-007	8.3062	
193	518.13	1.1369e-007	7.9075	
194	520.95	1.0585e-007	7.3687	
195	525.2	9.591e-008	6.6712	
196	531.62	8.4126e-008	5.814	
197	535.62	7.8219e-008	5.3669	
198	538.66	7.4311e-008	5.0623	
199	545.25	6.72e-008	4.4839	
200	549.7	6.3228e-008	4.1425	
201	552.68	6.0867e-008	3.9311	
202	554.68	5.9408e-008	3.7968	
203	556.01	5.8485e-008	3.71	
204	556.9	5.7892e-008	3.6535	
205	557.49	5.7507e-008	3.6164	
206	557.88	5.7255e-008	3.592	
207	558.14	5.7089e-008	3.576	
208	558.31	5.698e-008	3.5653	
209	558.42	5.6908e-008	3.5583	
210	558.64	5.6768e-008	3.5446	
211	558.87	5.6628e-008	3.5309	
212	558.98	5.6557e-008	3.5239	
213	559.15	5.6451e-008	3.5134	
214	559.41	5.6291e-008	3.4976	
215	559.8	5.6053e-008	3.474	
216	560.4	5.5698e-008	3.4385	
217	561.29	5.5174e-008	3.3856	
218	562.64	5.4409e-008	3.3071	
219	564.67	5.3309e-008	3.1917	
220	567.74	5.1768e-008	3.0235	
221	572.37	4.9684e-008	2.7816	
222	579.37	4.7015e-008	2.4379	
223	589.92	4.3878e-008	1.9511	
224	597.37	4.2196e-008	1.6191	
225	600.	4.1694e-008	1.5025	
