	Frequency [Hz]	Amplitude [mm]	Phase Angle [°]	
1	1.e-003	1.8392e-017	-2.3018e-006	
2	50.13	9.2076e-014	-1.1436	
3	57.921	1.2303e-013	-1.1587	
4	64.568	1.5374e-013	-1.1999	
5	69.881	1.824e-013	-1.297	
6	73.91	2.0881e-013	-1.5118	
7	76.845	2.3418e-013	-1.9682	
8	78.921	2.6065e-013	-2.9012	
9	80.359	2.9056e-013	-4.7112	
10	81.341	3.2506e-013	-7.9534	
11	82.005	3.6176e-013	-13.103	
12	82.451	3.9316e-013	-20.018	
13	82.749	4.1098e-013	-27.595	
14	82.947	4.1411e-013	-34.401	
15	83.079	4.0841e-013	-39.652	
16	83.167	4.0003e-013	-43.348	
17	83.225	3.9223e-013	-45.832	
18	83.264	3.8607e-013	-47.472	
19	83.289	3.8157e-013	-48.548	
20	83.306	3.784e-013	-49.254	
21	83.34	3.7177e-013	-50.62	
22	83.373	3.6463e-013	-51.95	
23	83.39	3.6081e-013	-52.611	
24	83.416	3.5483e-013	-53.584	
25	83.454	3.4536e-013	-54.99	
26	83.513	3.3025e-013	-56.938	
27	83.601	3.0624e-013	-59.403	
28	83.734	2.6959e-013	-61.809	
29	83.935	2.1974e-013	-62.01	
30	84.238	1.6793e-013	-54.891	
31	84.696	1.408e-013	-36.457	
32	85.388	1.5116e-013	-17.687	
33	86.431	1.7888e-013	-7.911	
34	88.006	2.0833e-013	-3.8767	
35	88.67	2.1763e-013	-3.1843	
36	89.017	2.2201e-013	-2.9206	
37	90.639	2.3969e-013	-2.1621	
38	91.747	2.4999e-013	-1.8833	
39	92.495	2.5645e-013	-1.7506	
40	92.998	2.6061e-013	-1.6785	
41	93.334	2.6333e-013	-1.6364	
42	93.558	2.6511e-013	-1.6106	
43	93.707	2.6629e-013	-1.5943	
44	93.806	2.6706e-013	-1.5839	
45	93.872	2.6758e-013	-1.5772	
46	93.915	2.6792e-013	-1.5728	
47	93.944	2.6814e-013	-1.5699	
48	93.963	2.6829e-013	-1.568	
49	94.001	2.6858e-013	-1.5643	
50	94.039	2.6887e-013	-1.5606	
51	94.058	2.6902e-013	-1.5588	
52	94.087	2.6925e-013	-1.556	
53	94.13	2.6958e-013	-1.5518	
54	94.196	2.7009e-013	-1.5456	
55	94.296	2.7086e-013	-1.5365	
56	94.446	2.72e-013	-1.5232	
57	94.673	2.7372e-013	-1.5041	
58	95.015	2.763e-013	-1.4774	
59	95.531	2.8012e-013	-1.4411	
60	96.311	2.8579e-013	-1.3941	
61	97.488	2.9416e-013	-1.3369	
62	99.264	3.0648e-013	-1.2723	
63	100.04	3.1175e-013	-1.25	
64	100.45	3.1454e-013	-1.2392	
65	102.28	3.2684e-013	-1.1984	
66	103.53	3.3516e-013	-1.1757	
67	104.37	3.4076e-013	-1.1619	
68	104.94	3.4452e-013	-1.1529	
69	105.32	3.4703e-013	-1.147	
70	105.57	3.487e-013	-1.143	
71	105.74	3.4981e-013	-1.1405	
72	105.85	3.5055e-013	-1.1389	
73	105.93	3.5104e-013	-1.1378	
74	105.98	3.5137e-013	-1.1372	
75	106.01	3.5158e-013	-1.1367	
76	106.03	3.5172e-013	-1.1364	
77	106.07	3.5201e-013	-1.1359	
78	106.12	3.5229e-013	-1.1354	
79	106.14	3.5243e-013	-1.1351	
80	106.17	3.5265e-013	-1.1347	
81	106.22	3.5297e-013	-1.1341	
82	106.29	3.5346e-013	-1.1333	
83	106.41	3.5421e-013	-1.1321	
84	106.58	3.5533e-013	-1.1304	
85	106.83	3.5701e-013	-1.1279	
86	107.22	3.5956e-013	-1.1242	
87	107.8	3.634e-013	-1.1185	
88	108.68	3.6919e-013	-1.1099	
89	110.01	3.7793e-013	-1.0976	
90	112.01	3.9112e-013	-1.0807	
91	115.04	4.1108e-013	-1.0585	
92	119.61	4.413e-013	-1.0298	
93	126.5	4.8717e-013	-0.99209	
94	136.91	5.5665e-013	-0.93898	
95	152.62	6.6004e-013	-0.85421	
96	176.34	8.0351e-013	-0.69313	
97	212.15	9.5115e-013	-0.29796	
98	240.77	9.5863e-013	0.30926	
99	260.95	8.7285e-013	1.1276	
100	290.9	5.5178e-013	4.6906	
101	314.83	1.0527e-013	48.514	
102	332.99	4.7645e-013	166.27	
103	346.21	9.7061e-013	171.5	
104	355.56	1.3847e-012	173.02	
105	362.04	1.7051e-012	173.7	
106	366.47	1.9406e-012	174.06	
107	369.46	2.1077e-012	174.27	
108	371.46	2.2236e-012	174.4	
109	372.81	2.3027e-012	174.48	
110	373.7	2.3562e-012	174.53	
111	374.3	2.3922e-012	174.56	
112	374.69	2.4162e-012	174.58	
113	374.95	2.4322e-012	174.6	
114	375.13	2.4428e-012	174.61	
115	375.24	2.4499e-012	174.61	
116	375.32	2.4546e-012	174.62	
117	375.47	2.4638e-012	174.62	
118	375.62	2.4731e-012	174.63	
119	375.7	2.4778e-012	174.64	
120	375.81	2.4849e-012	174.64	
121	375.99	2.4957e-012	174.65	
122	376.25	2.512e-012	174.66	
123	376.38	2.5202e-012	174.67	
124	376.51	2.5283e-012	174.68	
125	376.78	2.5448e-012	174.69	
126	376.95	2.5557e-012	174.7	
127	377.07	2.563e-012	174.71	
128	377.14	2.5678e-012	174.71	
129	377.29	2.5773e-012	174.72	
130	377.45	2.5868e-012	174.72	
131	377.52	2.5916e-012	174.73	
132	377.64	2.599e-012	174.73	
133	377.81	2.61e-012	174.74	
134	378.08	2.6268e-012	174.75	
135	378.48	2.6522e-012	174.77	
136	379.08	2.6909e-012	174.8	
137	379.99	2.7497e-012	174.84	
138	381.36	2.8398e-012	174.91	
139	383.44	2.9786e-012	174.99	
140	386.57	3.1949e-012	175.11	
141	391.29	3.537e-012	175.28	
142	398.42	4.09e-012	175.49	
143	409.18	5.0119e-012	175.76	
144	425.43	6.6094e-012	176.1	
145	428.69	6.9593e-012	176.16	
146	442.67	8.5548e-012	176.51	
147	454.63	9.9624e-012	177.1	
148	462.92	1.0804e-011	178.28	
149	468.57	1.1147e-011	-179.3	
150	472.4	1.1251e-011	-174.86	
151	474.96	1.1574e-011	-168.64	
152	476.68	1.2407e-011	-162.93	
153	477.82	1.3525e-011	-159.63	
154	478.59	1.4552e-011	-158.39	
155	479.09	1.5329e-011	-158.18	
156	479.43	1.5867e-011	-158.32	
157	479.65	1.6227e-011	-158.54	
158	479.8	1.6465e-011	-158.73	
159	479.89	1.6622e-011	-158.89	
160	480.09	1.6926e-011	-159.23	
161	480.28	1.7224e-011	-159.64	
162	480.38	1.7373e-011	-159.86	
163	480.52	1.7592e-011	-160.23	
164	480.75	1.791e-011	-160.83	
165	481.08	1.8358e-011	-161.83	
166	481.59	1.8948e-011	-163.47	
167	482.36	1.9635e-011	-166.04	
168	483.52	2.0264e-011	-169.65	
169	485.26	2.0642e-011	-173.85	
170	487.9	2.0785e-011	-177.69	
171	491.88	2.1033e-011	179.57	
172	496.34	2.16e-011	178.22	
173	500.31	2.2305e-011	177.6	
174	504.39	2.3175e-011	177.22	
175	507.13	2.3825e-011	177.04	
176	508.97	2.4287e-011	176.94	
177	510.19	2.4606e-011	176.88	
178	511.	2.4822e-011	176.85	
179	511.54	2.4968e-011	176.82	
180	511.9	2.5066e-011	176.81	
181	512.14	2.5131e-011	176.8	
182	512.29	2.5175e-011	176.79	
183	512.4	2.5204e-011	176.79	
184	512.6	2.5261e-011	176.78	
185	512.81	2.5318e-011	176.77	
186	512.91	2.5347e-011	176.77	
187	513.07	2.5391e-011	176.76	
188	513.31	2.5458e-011	176.75	
189	513.67	2.556e-011	176.74	
190	514.21	2.5715e-011	176.72	
191	515.03	2.5953e-011	176.69	
192	516.26	2.6318e-011	176.64	
193	518.13	2.6886e-011	176.58	
194	520.95	2.7784e-011	176.48	
195	525.2	2.9232e-011	176.33	
196	531.62	3.1669e-011	176.04	
197	535.62	3.3384e-011	175.77	
198	538.66	3.4817e-011	175.47	
199	545.25	3.8488e-011	174.22	
200	549.7	4.1591e-011	172.13	
201	552.68	4.3813e-011	169.22	
202	554.68	4.4847e-011	166.04	
203	556.01	4.4857e-011	163.33	
204	556.9	4.4352e-011	161.43	
205	557.49	4.375e-011	160.25	
206	557.88	4.3235e-011	159.55	
207	558.14	4.2848e-011	159.14	
208	558.31	4.2574e-011	158.89	
209	558.42	4.2385e-011	158.74	
210	558.64	4.2e-011	158.48	
211	558.87	4.16e-011	158.27	
212	558.98	4.1391e-011	158.19	
213	559.15	4.1072e-011	158.08	
214	559.41	4.0586e-011	157.98	
215	559.8	3.9855e-011	157.97	
216	560.4	3.8805e-011	158.29	
217	561.29	3.7477e-011	159.41	
218	562.64	3.627e-011	162.01	
219	564.67	3.6063e-011	166.13	
220	567.74	3.7573e-011	170.43	
221	572.37	4.0728e-011	173.45	
222	579.37	4.5355e-011	175.09	
223	589.92	5.2025e-011	175.84	
224	597.37	5.6814e-011	176.03	
225	600.	5.8551e-011	176.07	
