	Frequency [Hz]	Amplitude [mm]	Phase Angle [°]	
1	1.e-003	1.	-1.8707e-010	
2	50.13	1.6437	-0.7039	
3	57.921	2.0611	-1.1422	
4	64.568	2.7053	-1.808	
5	69.881	3.6877	-2.8124	
6	73.91	5.1732	-4.3224	
7	76.845	7.4008	-6.5846	
8	78.921	10.7	-9.9505	
9	80.359	15.469	-14.882	
10	81.341	22.031	-21.875	
11	82.005	30.242	-31.181	
12	82.451	38.991	-42.298	
13	82.749	46.469	-53.746	
14	82.947	51.533	-63.83	
15	83.079	54.376	-71.67	
16	83.167	55.794	-77.303	
17	83.225	56.458	-81.182	
18	83.264	56.76	-83.8	
19	83.289	56.896	-85.548	
20	83.306	56.957	-86.712	
21	83.34	57.008	-89.001	
22	83.373	56.968	-91.292	
23	83.39	56.913	-92.457	
24	83.416	56.786	-94.211	
25	83.454	56.495	-96.841	
26	83.513	55.844	-100.75	
27	83.601	54.433	-106.43	
28	83.734	51.569	-114.38	
29	83.935	46.416	-124.64	
30	84.238	38.758	-136.32	
31	84.696	29.789	-147.65	
32	85.388	21.4	-157.11	
33	86.431	14.728	-164.19	
34	88.006	9.9023	-169.16	
35	88.67	8.684	-170.4	
36	89.017	8.1581	-170.94	
37	90.639	6.345	-172.78	
38	91.747	5.5027	-173.64	
39	92.495	5.0475	-174.1	
40	92.998	4.7811	-174.37	
41	93.334	4.6179	-174.54	
42	93.558	4.515	-174.64	
43	93.707	4.449	-174.71	
44	93.806	4.4062	-174.75	
45	93.872	4.3783	-174.78	
46	93.915	4.3599	-174.8	
47	93.944	4.3479	-174.81	
48	93.963	4.3399	-174.82	
49	94.001	4.3243	-174.84	
50	94.039	4.3088	-174.85	
51	94.058	4.301	-174.86	
52	94.087	4.2892	-174.87	
53	94.13	4.2715	-174.89	
54	94.196	4.2451	-174.92	
55	94.296	4.2059	-174.96	
56	94.446	4.148	-175.02	
57	94.673	4.0634	-175.1	
58	95.015	3.942	-175.23	
59	95.531	3.7715	-175.4	
60	96.311	3.5399	-175.64	
61	97.488	3.2387	-175.94	
62	99.264	2.8684	-176.32	
63	100.04	2.7321	-176.46	
64	100.45	2.6645	-176.53	
65	102.28	2.3997	-176.81	
66	103.53	2.2467	-176.97	
67	104.37	2.1536	-177.06	
68	104.94	2.0953	-177.13	
69	105.32	2.058	-177.16	
70	105.57	2.0339	-177.19	
71	105.74	2.0181	-177.21	
72	105.85	2.0078	-177.22	
73	105.93	2.001	-177.22	
74	105.98	1.9965	-177.23	
75	106.01	1.9935	-177.23	
76	106.03	1.9916	-177.23	
77	106.07	1.9877	-177.24	
78	106.12	1.9839	-177.24	
79	106.14	1.982	-177.24	
80	106.17	1.979	-177.25	
81	106.22	1.9746	-177.25	
82	106.29	1.968	-177.26	
83	106.41	1.9582	-177.27	
84	106.58	1.9434	-177.28	
85	106.83	1.9216	-177.31	
86	107.22	1.8895	-177.34	
87	107.8	1.843	-177.39	
88	108.68	1.777	-177.46	
89	110.01	1.6857	-177.56	
90	112.01	1.5642	-177.69	
91	115.04	1.4105	-177.86	
92	119.61	1.2282	-178.06	
93	126.5	1.0284	-178.3	
94	136.91	0.82791	-178.55	
95	152.62	0.64578	-178.82	
96	176.34	0.4977	-179.11	
97	212.15	0.39473	-179.46	
98	240.77	0.36019	-179.72	
99	260.95	0.35096	-179.91	
100	290.9	0.35544	179.77	
101	314.83	0.37446	179.47	
102	332.99	0.39965	179.19	
103	346.21	0.4254	178.96	
104	355.56	0.44837	178.77	
105	362.04	0.46708	178.63	
106	366.47	0.48138	178.52	
107	369.46	0.49183	178.45	
108	371.46	0.49923	178.39	
109	372.81	0.50436	178.36	
110	373.7	0.50786	178.33	
111	374.3	0.51023	178.31	
112	374.69	0.51182	178.3	
113	374.95	0.51288	178.3	
114	375.13	0.51359	178.29	
115	375.24	0.51406	178.29	
116	375.32	0.51437	178.29	
117	375.47	0.51499	178.28	
118	375.62	0.51561	178.28	
119	375.7	0.51592	178.28	
120	375.81	0.5164	178.27	
121	375.99	0.51712	178.27	
122	376.25	0.51822	178.26	
123	376.38	0.51877	178.26	
124	376.51	0.51932	178.25	
125	376.78	0.52043	178.24	
126	376.95	0.52117	178.24	
127	377.07	0.52166	178.24	
128	377.14	0.52199	178.23	
129	377.29	0.52264	178.23	
130	377.45	0.52328	178.22	
131	377.52	0.52361	178.22	
132	377.64	0.52411	178.22	
133	377.81	0.52487	178.21	
134	378.08	0.52602	178.21	
135	378.48	0.52776	178.19	
136	379.08	0.53043	178.17	
137	379.99	0.53452	178.15	
138	381.36	0.54085	178.1	
139	383.44	0.5508	178.04	
140	386.57	0.56675	177.93	
141	391.29	0.59319	177.76	
142	398.42	0.63942	177.46	
143	409.18	0.7281	176.91	
144	425.43	0.93127	175.71	
145	428.69	0.98783	175.38	
146	442.67	1.3428	173.36	
147	454.63	1.9487	169.95	
148	462.92	2.8276	164.99	
149	468.57	4.0392	157.97	
150	472.4	5.5571	148.65	
151	474.96	7.1763	137.53	
152	476.68	8.5624	126.07	
153	477.82	9.5028	115.98	
154	478.59	10.032	108.14	
155	479.09	10.298	102.51	
156	479.43	10.422	98.626	
157	479.65	10.48	96.007	
158	479.8	10.506	94.258	
159	479.89	10.518	93.095	
160	480.09	10.529	90.805	
161	480.28	10.523	88.513	
162	480.38	10.513	87.347	
163	480.52	10.491	85.593	
164	480.75	10.439	82.963	
165	481.08	10.321	79.056	
166	481.59	10.064	73.366	
167	482.36	9.5399	65.417	
